"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Haapavesi","Total","Total","Net migration",-8,19,8,5,4,9,-6,-3,-3,-8,-4,8,-4,-6,13,2,2,-7,0,15,1,32,13,9,22,22,9,10,2,11,17,45,41,49,20
"Hailuoto","Total","Total","Immigration to Finland",0,1,6,0,1,0,6,1,2,0,3,2,2,2,2,1,0,5,5,1,1,1,4,4,2,1,1,4,1,1,2,2,3,1,0
"Hailuoto","Total","Total","Emigration from Finland",0,7,1,1,2,7,2,0,2,2,0,4,2,0,1,0,2,1,0,1,2,2,0,1,0,2,1,0,1,1,0,0,0,0,0
"Hailuoto","Total","Total","Net migration",0,-6,5,-1,-1,-7,4,1,0,-2,3,-2,0,2,1,1,-2,4,5,0,-1,-1,4,3,2,-1,0,4,0,0,2,2,3,1,0
"Halsua","Total","Total","Immigration to Finland",2,3,1,0,2,3,1,0,5,1,0,0,1,0,1,6,0,0,3,1,6,5,3,4,4,10,3,5,9,2,3,4,4,9,0
"Halsua","Total","Total","Emigration from Finland",1,0,0,0,2,0,3,1,0,0,2,0,2,1,7,1,1,0,0,2,1,2,0,1,1,2,1,2,0,1,3,1,0,0,0
"Halsua","Total","Total","Net migration",1,3,1,0,0,3,-2,-1,5,1,-2,0,-1,-1,-6,5,-1,0,3,-1,5,3,3,3,3,8,2,3,9,1,0,3,4,9,0
"Hamina","Total","Total","Immigration to Finland",29,104,67,73,40,26,29,47,64,36,35,57,34,48,68,76,84,100,80,72,62,101,81,88,117,92,53,47,53,71,92,49,91,321,190
"Hamina","Total","Total","Emigration from Finland",7,13,6,29,13,29,32,43,11,38,30,25,15,19,23,20,22,20,28,8,16,26,33,17,28,40,41,38,28,42,35,44,41,42,24
"Hamina","Total","Total","Net migration",22,91,61,44,27,-3,-3,4,53,-2,5,32,19,29,45,56,62,80,52,64,46,75,48,71,89,52,12,9,25,29,57,5,50,279,166
"Hammarland","Total","Total","Immigration to Finland",10,8,5,11,3,1,13,5,12,28,16,24,8,15,24,20,22,23,35,24,30,32,18,23,27,27,21,38,44,24,48,26,22,24,10
"Hammarland","Total","Total","Emigration from Finland",4,0,2,5,7,4,4,7,7,5,5,15,22,22,20,19,17,17,8,20,15,12,25,15,21,20,15,16,21,25,15,20,19,16,15
"Hammarland","Total","Total","Net migration",6,8,3,6,-4,-3,9,-2,5,23,11,9,-14,-7,4,1,5,6,27,4,15,20,-7,8,6,7,6,22,23,-1,33,6,3,8,-5
"Hankasalmi","Total","Total","Immigration to Finland",15,22,9,2,10,8,5,11,7,8,5,7,4,12,8,4,9,19,5,15,15,9,3,9,3,6,17,5,7,6,18,10,9,58,4
"Hankasalmi","Total","Total","Emigration from Finland",5,2,0,2,4,4,7,9,6,6,10,1,2,6,4,6,5,11,5,5,2,0,2,6,10,4,7,9,6,3,4,12,6,6,4
"Hankasalmi","Total","Total","Net migration",10,20,9,0,6,4,-2,2,1,2,-5,6,2,6,4,-2,4,8,0,10,13,9,1,3,-7,2,10,-4,1,3,14,-2,3,52,0
"Hanko","Total","Total","Immigration to Finland",39,33,63,23,18,18,22,27,41,25,21,25,62,26,59,25,61,66,72,42,36,40,66,35,37,23,48,45,44,60,55,51,32,49,72
"Hanko","Total","Total","Emigration from Finland",26,28,23,22,17,30,26,14,38,36,21,13,18,24,21,24,26,14,24,12,19,13,21,22,23,27,11,29,25,26,24,17,19,16,9
"Hanko","Total","Total","Net migration",13,5,40,1,1,-12,-4,13,3,-11,0,12,44,2,38,1,35,52,48,30,17,27,45,13,14,-4,37,16,19,34,31,34,13,33,63
"Harjavalta","Total","Total","Immigration to Finland",17,34,18,2,4,4,2,4,7,4,11,7,8,9,11,9,8,23,9,25,15,18,19,18,36,13,59,15,17,14,18,21,14,39,30
"Harjavalta","Total","Total","Emigration from Finland",2,0,3,1,7,1,4,2,10,8,6,5,1,5,10,12,9,5,5,5,9,9,3,1,3,15,10,5,7,5,4,1,4,2,9
"Harjavalta","Total","Total","Net migration",15,34,15,1,-3,3,-2,2,-3,-4,5,2,7,4,1,-3,-1,18,4,20,6,9,16,17,33,-2,49,10,10,9,14,20,10,37,21
"Hartola","Total","Total","Immigration to Finland",2,13,2,0,1,3,6,3,3,4,8,8,7,6,6,5,10,2,1,5,4,5,6,7,8,10,24,12,5,5,9,9,11,10,17
"Hartola","Total","Total","Emigration from Finland",0,0,2,3,0,1,1,3,2,2,9,0,2,2,4,1,4,1,1,1,0,2,1,0,4,3,8,3,8,5,3,1,3,3,3
"Hartola","Total","Total","Net migration",2,13,0,-3,1,2,5,0,1,2,-1,8,5,4,2,4,6,1,0,4,4,3,5,7,4,7,16,9,-3,0,6,8,8,7,14
"Hattula","Total","Total","Immigration to Finland",22,16,11,13,4,8,7,5,5,18,11,16,7,15,12,36,23,16,8,13,6,18,21,25,35,25,14,6,10,13,19,9,7,16,42
"Hattula","Total","Total","Emigration from Finland",4,6,5,4,3,4,11,24,14,9,5,8,9,4,7,9,6,5,10,15,11,14,11,11,9,5,14,14,14,9,21,7,18,5,7
"Hattula","Total","Total","Net migration",18,10,6,9,1,4,-4,-19,-9,9,6,8,-2,11,5,27,17,11,-2,-2,-5,4,10,14,26,20,0,-8,-4,4,-2,2,-11,11,35
"Hausjärvi","Total","Total","Immigration to Finland",8,20,7,19,18,1,5,4,4,5,16,16,20,8,21,12,20,25,19,16,15,20,26,23,20,21,27,35,23,34,14,15,22,26,32
"Hausjärvi","Total","Total","Emigration from Finland",0,3,1,1,4,3,4,3,7,15,13,8,9,7,10,9,9,6,10,2,4,20,12,10,14,13,25,9,8,18,14,5,13,11,20
"Hausjärvi","Total","Total","Net migration",8,17,6,18,14,-2,1,1,-3,-10,3,8,11,1,11,3,11,19,9,14,11,0,14,13,6,8,2,26,15,16,0,10,9,15,12
