"11a7 -- Immigration and emigration by age (5-year), sex and area, 1990-2024"

"Area","Sex","Age","Information","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Liminka","Total","Total","Net migration",-2,27,34,2,-8,1,-4,-2,8,6,3,0,-2,-7,11,10,2,-1,4,-1,1,-11,-2,-10,-9,0,4,9,2,1,2,0,5,24,-1
"Liperi","Total","Total","Immigration to Finland",7,16,8,5,12,5,10,10,18,12,11,21,27,12,22,24,18,15,44,15,22,18,26,8,24,22,18,10,3,16,22,16,17,41,50
"Liperi","Total","Total","Emigration from Finland",7,6,8,0,6,16,10,8,8,14,8,22,11,6,13,1,4,8,12,8,3,4,8,12,12,8,8,15,6,11,18,5,5,11,4
"Liperi","Total","Total","Net migration",0,10,0,5,6,-11,0,2,10,-2,3,-1,16,6,9,23,14,7,32,7,19,14,18,-4,12,14,10,-5,-3,5,4,11,12,30,46
"Lohja","Total","Total","Immigration to Finland",96,171,87,99,77,72,84,72,62,74,61,99,104,77,123,129,156,166,183,174,120,118,170,165,174,131,137,94,106,140,145,177,205,348,193
"Lohja","Total","Total","Emigration from Finland",29,60,47,48,44,50,46,47,51,51,75,105,50,73,89,61,48,80,50,68,49,67,45,62,80,108,108,114,91,102,77,75,58,63,69
"Lohja","Total","Total","Net migration",67,111,40,51,33,22,38,25,11,23,-14,-6,54,4,34,68,108,86,133,106,71,51,125,103,94,23,29,-20,15,38,68,102,147,285,124
"Loimaa","Total","Total","Immigration to Finland",34,52,28,21,25,15,14,12,25,16,19,12,19,19,20,34,27,26,50,34,33,36,53,53,42,41,34,52,47,49,54,58,71,229,97
"Loimaa","Total","Total","Emigration from Finland",7,9,12,10,14,22,29,11,11,16,24,14,14,10,9,17,17,15,11,14,9,16,20,13,16,27,18,19,33,16,16,12,23,17,15
"Loimaa","Total","Total","Net migration",27,43,16,11,11,-7,-15,1,14,0,-5,-2,5,9,11,17,10,11,39,20,24,20,33,40,26,14,16,33,14,33,38,46,48,212,82
"Loppi","Total","Total","Immigration to Finland",8,17,9,18,8,11,11,5,14,2,10,12,9,11,12,10,7,13,13,9,8,19,12,18,13,8,13,13,10,13,22,17,23,26,46
"Loppi","Total","Total","Emigration from Finland",2,0,2,5,10,3,4,12,8,3,2,7,8,5,5,8,2,6,8,2,3,1,5,3,8,17,4,6,10,4,4,4,5,11,11
"Loppi","Total","Total","Net migration",6,17,7,13,-2,8,7,-7,6,-1,8,5,1,6,7,2,5,7,5,7,5,18,7,15,5,-9,9,7,0,9,18,13,18,15,35
"Loviisa","Total","Total","Immigration to Finland",22,80,37,30,41,34,37,35,27,24,54,41,51,55,48,47,41,51,60,61,58,53,64,70,39,37,75,43,47,44,60,44,53,148,166
"Loviisa","Total","Total","Emigration from Finland",13,17,20,20,29,34,30,23,23,26,18,20,28,16,22,24,31,36,23,21,28,23,30,26,30,40,26,29,47,36,32,22,16,42,31
"Loviisa","Total","Total","Net migration",9,63,17,10,12,0,7,12,4,-2,36,21,23,39,26,23,10,15,37,40,30,30,34,44,9,-3,49,14,0,8,28,22,37,106,135
"Luhanka","Total","Total","Immigration to Finland",2,2,10,0,1,0,0,0,0,0,0,0,1,1,0,2,1,2,2,1,0,0,0,1,0,0,0,0,1,1,4,2,0,4,0
"Luhanka","Total","Total","Emigration from Finland",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,2,1,1
"Luhanka","Total","Total","Net migration",2,2,10,-1,1,0,0,0,0,0,0,0,1,1,0,2,0,2,1,1,0,0,0,1,-2,0,0,-2,1,1,3,2,-2,3,-1
"Lumijoki","Total","Total","Immigration to Finland",3,0,1,3,0,1,1,3,0,4,1,0,1,3,1,3,3,6,2,6,3,5,2,2,5,10,4,1,6,3,16,7,1,59,13
"Lumijoki","Total","Total","Emigration from Finland",3,2,0,1,0,0,0,4,5,1,0,0,0,0,1,0,2,5,1,2,0,3,12,4,3,5,1,1,1,5,1,4,5,0,4
"Lumijoki","Total","Total","Net migration",0,-2,1,2,0,1,1,-1,-5,3,1,0,1,3,0,3,1,1,1,4,3,2,-10,-2,2,5,3,0,5,-2,15,3,-4,59,9
"Lumparland","Total","Total","Immigration to Finland",1,0,0,1,0,1,3,5,4,1,4,7,7,3,6,5,4,7,5,5,4,6,8,15,5,7,4,4,4,1,8,6,3,6,3
"Lumparland","Total","Total","Emigration from Finland",0,6,0,0,1,2,4,1,1,2,2,5,8,8,11,4,6,2,4,5,6,3,5,6,3,7,12,2,5,6,1,2,5,3,3
"Lumparland","Total","Total","Net migration",1,-6,0,1,-1,-1,-1,4,3,-1,2,2,-1,-5,-5,1,-2,5,1,0,-2,3,3,9,2,0,-8,2,-1,-5,7,4,-2,3,0
"Luumäki","Total","Total","Immigration to Finland",13,11,16,11,7,12,7,8,14,11,13,16,17,5,11,6,11,10,7,4,6,15,17,16,16,9,8,5,10,12,11,6,36,43,28
"Luumäki","Total","Total","Emigration from Finland",4,6,2,1,3,2,2,3,3,7,9,4,2,1,3,2,8,8,4,1,0,7,5,19,3,6,4,1,5,5,3,4,7,4,4
"Luumäki","Total","Total","Net migration",9,5,14,10,4,10,5,5,11,4,4,12,15,4,8,4,3,2,3,3,6,8,12,-3,13,3,4,4,5,7,8,2,29,39,24
"Malax","Total","Total","Immigration to Finland",28,14,8,6,15,32,16,7,39,29,41,26,17,16,35,28,26,54,40,56,18,38,26,19,32,44,34,48,26,24,22,20,24,56,25
"Malax","Total","Total","Emigration from Finland",8,15,14,8,13,23,21,31,9,27,23,15,38,21,15,23,18,16,12,18,15,29,16,14,18,32,21,23,14,19,7,14,14,19,20
"Malax","Total","Total","Net migration",20,-1,-6,-2,2,9,-5,-24,30,2,18,11,-21,-5,20,5,8,38,28,38,3,9,10,5,14,12,13,25,12,5,15,6,10,37,5
"Mariehamn","Total","Total","Immigration to Finland",143,145,128,89,71,82,120,161,162,143,184,165,237,220,290,278,264,315,331,323,288,301,292,275,290,294,295,322,322,271,285,333,304,330,363
"Mariehamn","Total","Total","Emigration from Finland",71,116,92,112,136,153,123,170,163,189,222,197,228,204,206,198,241,217,268,232,217,198,246,239,239,278,267,243,251,224,252,203,239,218,215
"Mariehamn","Total","Total","Net migration",72,29,36,-23,-65,-71,-3,-9,-1,-46,-38,-32,9,16,84,80,23,98,63,91,71,103,46,36,51,16,28,79,71,47,33,130,65,112,148
"Marttila","Total","Total","Immigration to Finland",1,0,1,0,3,0,1,1,3,4,3,7,2,2,0,4,0,1,5,3,2,4,2,6,8,11,10,3,13,3,18,6,3,12,1
"Marttila","Total","Total","Emigration from Finland",0,0,0,0,3,2,0,1,4,2,0,1,6,1,0,0,0,2,2,2,5,1,0,6,6,5,2,3,2,3,3,3,1,2,3
"Marttila","Total","Total","Net migration",1,0,1,0,0,-2,1,0,-1,2,3,6,-4,1,0,4,0,-1,3,1,-3,3,2,0,2,6,8,0,11,0,15,3,2,10,-2
"Masku","Total","Total","Immigration to Finland",14,10,10,8,6,10,3,8,9,4,8,10,8,4,8,8,10,16,12,17,10,13,13,12,8,7,10,7,16,15,22,18,30,27,13
"Masku","Total","Total","Emigration from Finland",2,7,8,4,5,5,4,1,8,10,3,4,8,4,8,9,10,4,7,6,8,9,7,3,11,9,14,9,8,13,2,5,9,10,10
"Masku","Total","Total","Net migration",12,3,2,4,1,5,-1,7,1,-6,5,6,0,0,0,-1,0,12,5,11,2,4,6,9,-3,-2,-4,-2,8,2,20,13,21,17,3
"Merijärvi","Total","Total","Immigration to Finland",0,0,2,1,0,0,1,1,0,0,0,2,0,0,3,0,0,1,0,3,2,0,1,0,2,1,2,0,3,3,5,0,0,0,0
"Merijärvi","Total","Total","Emigration from Finland",1,0,1,4,0,1,1,3,0,0,2,0,2,0,1,0,1,0,8,0,1,0,0,1,0,1,2,0,1,0,1,0,2,0,0
"Merijärvi","Total","Total","Net migration",-1,0,1,-3,0,-1,0,-2,0,0,-2,2,-2,0,2,0,-1,1,-8,3,1,0,1,-1,2,0,0,0,2,3,4,0,-2,0,0
"Merikarvia","Total","Total","Immigration to Finland",17,9,5,4,2,4,0,3,2,4,13,1,1,7,1,4,4,2,5,10,7,8,8,5,4,7,5,11,10,6,12,6,10,37,18
"Merikarvia","Total","Total","Emigration from Finland",2,2,2,1,0,5,4,2,1,3,6,2,1,0,3,2,1,2,1,0,3,1,0,4,9,1,3,2,4,7,5,2,5,6,2
"Merikarvia","Total","Total","Net migration",15,7,3,3,2,-1,-4,1,1,1,7,-1,0,7,-2,2,3,0,4,10,4,7,8,1,-5,6,2,9,6,-1,7,4,5,31,16
"Miehikkälä","Total","Total","Immigration to Finland",0,4,4,1,2,1,3,5,0,13,7,7,7,4,10,11,13,10,9,8,5,2,15,6,7,10,5,0,7,2,2,1,3,27,6
"Miehikkälä","Total","Total","Emigration from Finland",0,0,0,1,3,0,1,0,1,4,1,5,0,3,0,3,0,1,0,2,3,1,0,3,2,2,5,2,3,5,5,1,3,1,1
"Miehikkälä","Total","Total","Net migration",0,4,4,0,-1,1,2,5,-1,9,6,2,7,1,10,8,13,9,9,6,2,1,15,3,5,8,0,-2,4,-3,-3,0,0,26,5
"Mikkeli","Total","Total","Immigration to Finland",94,357,203,185,109,92,83,94,138,122,194,98,123,139,156,164,187,140,136,136,152,166,194,201,155,255,262,223,219,238,179,235,323,543,606
"Mikkeli","Total","Total","Emigration from Finland",44,46,50,25,65,77,64,53,53,92,94,90,74,82,70,54,60,49,52,57,42,63,63,69,66,46,73,78,81,70,56,69,77,68,74
"Mikkeli","Total","Total","Net migration",50,311,153,160,44,15,19,41,85,30,100,8,49,57,86,110,127,91,84,79,110,103,131,132,89,209,189,145,138,168,123,166,246,475,532
"Muhos","Total","Total","Immigration to Finland",12,15,3,12,6,8,10,9,11,5,10,8,13,18,22,8,10,17,15,15,9,10,12,14,10,8,42,6,5,6,13,9,15,15,9
"Muhos","Total","Total","Emigration from Finland",6,2,8,6,3,7,9,6,4,8,9,17,10,10,4,5,7,13,11,2,3,6,9,7,4,9,7,10,9,13,9,3,7,3,2
"Muhos","Total","Total","Net migration",6,13,-5,6,3,1,1,3,7,-3,1,-9,3,8,18,3,3,4,4,13,6,4,3,7,6,-1,35,-4,-4,-7,4,6,8,12,7
"Multia","Total","Total","Immigration to Finland",10,0,1,3,4,1,6,3,2,3,2,0,5,5,1,4,0,4,6,0,0,0,3,3,6,0,2,0,1,3,2,4,10,8,1
"Multia","Total","Total","Emigration from Finland",0,4,1,1,0,0,0,4,1,0,1,1,4,2,3,0,0,2,3,0,2,0,0,1,0,0,0,0,1,2,1,0,3,0,2
"Multia","Total","Total","Net migration",10,-4,0,2,4,1,6,-1,1,3,1,-1,1,3,-2,4,0,2,3,0,-2,0,3,2,6,0,2,0,0,1,1,4,7,8,-1
"Muonio","Total","Total","Immigration to Finland",11,2,12,0,12,6,8,5,6,7,7,7,19,22,19,12,12,12,17,11,18,20,22,26,27,15,11,4,5,25,6,11,12,13,13
"Muonio","Total","Total","Emigration from Finland",7,3,5,3,12,2,5,5,6,3,2,4,10,5,20,8,16,7,11,7,10,14,6,13,5,18,8,16,16,11,9,6,4,4,7
"Muonio","Total","Total","Net migration",4,-1,7,-3,0,4,3,0,0,4,5,3,9,17,-1,4,-4,5,6,4,8,6,16,13,22,-3,3,-12,-11,14,-3,5,8,9,6
"Muurame","Total","Total","Immigration to Finland",17,13,24,1,4,4,6,5,21,8,11,13,19,16,14,12,21,14,18,18,7,19,11,11,9,18,22,12,10,15,18,15,11,20,18
"Muurame","Total","Total","Emigration from Finland",6,17,1,3,2,7,6,8,9,14,17,20,21,16,13,7,10,10,2,12,24,5,8,4,5,7,9,10,8,15,8,10,6,9,16
"Muurame","Total","Total","Net migration",11,-4,23,-2,2,-3,0,-3,12,-6,-6,-7,-2,0,1,5,11,4,16,6,-17,14,3,7,4,11,13,2,2,0,10,5,5,11,2
"Mynämäki","Total","Total","Immigration to Finland",1,12,5,7,4,3,4,12,10,8,11,7,4,14,4,18,8,3,11,5,11,20,15,16,4,14,15,8,17,21,18,19,19,42,22
"Mynämäki","Total","Total","Emigration from Finland",2,4,2,5,6,4,4,1,4,10,5,8,9,6,5,12,3,4,5,2,1,1,6,3,7,8,4,5,5,15,2,11,8,4,8
"Mynämäki","Total","Total","Net migration",-1,8,3,2,-2,-1,0,11,6,-2,6,-1,-5,8,-1,6,5,-1,6,3,10,19,9,13,-3,6,11,3,12,6,16,8,11,38,14
"Myrskylä","Total","Total","Immigration to Finland",7,3,8,1,0,3,1,2,0,3,2,3,12,4,5,3,3,2,6,1,1,2,3,1,6,2,4,7,10,2,4,4,4,4,2
"Myrskylä","Total","Total","Emigration from Finland",0,0,3,1,3,3,3,6,1,2,1,3,4,2,4,1,1,6,1,1,2,3,1,1,3,1,1,0,2,3,2,4,1,2,0
"Myrskylä","Total","Total","Net migration",7,3,5,0,-3,0,-2,-4,-1,1,1,0,8,2,1,2,2,-4,5,0,-1,-1,2,0,3,1,3,7,8,-1,2,0,3,2,2
"Mäntsälä","Total","Total","Immigration to Finland",18,20,20,20,25,17,13,23,28,20,26,29,41,25,37,30,55,35,37,48,32,37,62,56,45,31,55,76,19,41,73,42,92,180,97
"Mäntsälä","Total","Total","Emigration from Finland",9,21,15,6,24,19,20,11,20,7,19,19,9,17,15,22,12,23,8,18,32,24,21,21,30,27,35,35,37,28,36,29,49,22,24
"Mäntsälä","Total","Total","Net migration",9,-1,5,14,1,-2,-7,12,8,13,7,10,32,8,22,8,43,12,29,30,0,13,41,35,15,4,20,41,-18,13,37,13,43,158,73
"Mänttä-Vilppula","Total","Total","Immigration to Finland",11,25,16,9,5,19,25,10,8,8,8,18,23,21,13,20,33,41,51,15,44,42,38,33,9,53,110,61,44,79,74,31,48,99,168
"Mänttä-Vilppula","Total","Total","Emigration from Finland",9,3,6,5,10,11,8,21,7,9,12,20,15,14,23,9,24,19,15,12,7,12,19,2,11,13,6,8,12,16,14,12,9,5,5
"Mänttä-Vilppula","Total","Total","Net migration",2,22,10,4,-5,8,17,-11,1,-1,-4,-2,8,7,-10,11,9,22,36,3,37,30,19,31,-2,40,104,53,32,63,60,19,39,94,163
"Mäntyharju","Total","Total","Immigration to Finland",13,13,10,14,20,13,13,9,11,12,17,17,8,14,22,10,22,21,20,8,19,13,38,16,44,43,28,42,12,13,23,27,23,94,54
"Mäntyharju","Total","Total","Emigration from Finland",6,6,4,5,5,19,8,11,6,12,10,4,5,2,16,4,4,7,6,1,7,12,2,6,3,10,12,6,10,14,7,10,10,4,8
"Mäntyharju","Total","Total","Net migration",7,7,6,9,15,-6,5,-2,5,0,7,13,3,12,6,6,18,14,14,7,12,1,36,10,41,33,16,36,2,-1,16,17,13,90,46
"Naantali","Total","Total","Immigration to Finland",32,35,10,31,20,31,37,32,39,23,33,45,46,28,45,55,64,28,53,46,46,50,43,60,57,53,49,66,69,53,35,70,61,153,111
"Naantali","Total","Total","Emigration from Finland",13,16,18,6,35,32,31,24,31,31,28,33,45,25,35,33,28,29,37,30,32,41,39,31,40,49,44,39,34,39,37,15,31,37,40
"Naantali","Total","Total","Net migration",19,19,-8,25,-15,-1,6,8,8,-8,5,12,1,3,10,22,36,-1,16,16,14,9,4,29,17,4,5,27,35,14,-2,55,30,116,71
"Nakkila","Total","Total","Immigration to Finland",5,1,3,1,4,4,7,8,2,4,6,4,4,7,5,14,3,3,11,21,8,4,3,3,10,5,6,6,8,5,9,6,7,7,4
"Nakkila","Total","Total","Emigration from Finland",1,1,1,1,6,8,2,4,0,5,6,4,4,0,3,11,8,4,13,6,9,6,3,2,3,6,6,4,9,7,2,0,0,5,2
"Nakkila","Total","Total","Net migration",4,0,2,0,-2,-4,5,4,2,-1,0,0,0,7,2,3,-5,-1,-2,15,-1,-2,0,1,7,-1,0,2,-1,-2,7,6,7,2,2
"Nivala","Total","Total","Immigration to Finland",17,33,13,7,14,4,7,14,15,10,12,9,16,2,6,19,25,22,16,16,18,6,12,20,17,9,19,18,14,14,6,14,25,52,25
"Nivala","Total","Total","Emigration from Finland",7,12,6,4,9,7,4,11,27,13,8,10,7,7,13,5,5,11,6,15,8,1,17,7,9,4,2,8,5,11,7,0,5,3,2
"Nivala","Total","Total","Net migration",10,21,7,3,5,-3,3,3,-12,-3,4,-1,9,-5,-7,14,20,11,10,1,10,5,-5,13,8,5,17,10,9,3,-1,14,20,49,23
"Nokia","Total","Total","Immigration to Finland",69,41,53,33,33,26,29,37,26,35,53,63,59,47,58,84,49,83,99,81,62,83,69,66,69,81,66,52,80,64,67,61,108,137,121
"Nokia","Total","Total","Emigration from Finland",30,23,27,18,17,19,10,32,45,47,39,32,29,44,26,22,23,40,37,59,30,34,25,40,32,54,52,46,44,47,59,36,31,61,58
"Nokia","Total","Total","Net migration",39,18,26,15,16,7,19,5,-19,-12,14,31,30,3,32,62,26,43,62,22,32,49,44,26,37,27,14,6,36,17,8,25,77,76,63
"Nousiainen","Total","Total","Immigration to Finland",0,6,2,0,1,3,2,3,3,5,8,1,1,4,5,6,4,2,3,5,5,7,3,3,6,15,2,11,9,4,11,17,7,57,23
"Nousiainen","Total","Total","Emigration from Finland",1,1,0,0,2,1,9,1,5,2,6,1,3,5,2,1,1,2,2,0,1,1,1,7,8,13,3,2,4,0,3,2,1,1,6
"Nousiainen","Total","Total","Net migration",-1,5,2,0,-1,2,-7,2,-2,3,2,0,-2,-1,3,5,3,0,1,5,4,6,2,-4,-2,2,-1,9,5,4,8,15,6,56,17
"Nurmes","Total","Total","Immigration to Finland",13,17,12,7,4,35,13,14,6,11,9,23,11,24,13,15,17,18,31,30,24,18,19,14,18,22,15,3,12,23,56,60,58,107,66
"Nurmes","Total","Total","Emigration from Finland",13,16,4,8,9,5,6,2,6,7,11,8,2,8,14,16,6,10,3,3,4,8,1,5,5,3,9,7,8,11,8,3,9,5,6
"Nurmes","Total","Total","Net migration",0,1,8,-1,-5,30,7,12,0,4,-2,15,9,16,-1,-1,11,8,28,27,20,10,18,9,13,19,6,-4,4,12,48,57,49,102,60
"Nurmijärvi","Total","Total","Immigration to Finland",50,79,36,55,30,43,29,33,52,45,52,63,64,90,77,102,88,82,103,120,105,122,139,109,115,89,271,117,104,140,179,173,191,250,249
"Nurmijärvi","Total","Total","Emigration from Finland",12,29,31,21,37,63,40,46,50,49,65,82,38,38,45,51,58,62,73,59,57,50,67,60,62,83,104,86,92,94,72,77,89,94,80
"Nurmijärvi","Total","Total","Net migration",38,50,5,34,-7,-20,-11,-13,2,-4,-13,-19,26,52,32,51,30,20,30,61,48,72,72,49,53,6,167,31,12,46,107,96,102,156,169
"Nykarleby","Total","Total","Immigration to Finland",29,12,24,39,18,27,32,24,36,42,39,21,43,43,37,41,59,69,74,59,72,95,75,76,61,57,61,78,39,95,80,62,103,135,76
"Nykarleby","Total","Total","Emigration from Finland",40,22,17,33,28,24,30,42,34,31,25,34,41,16,28,28,32,37,21,28,34,35,35,18,26,31,27,39,34,38,19,20,29,23,30
"Nykarleby","Total","Total","Net migration",-11,-10,7,6,-10,3,2,-18,2,11,14,-13,2,27,9,13,27,32,53,31,38,60,40,58,35,26,34,39,5,57,61,42,74,112,46
"Närpes","Total","Total","Immigration to Finland",67,53,47,40,45,49,48,31,50,34,47,67,65,32,48,76,109,152,160,114,80,97,94,115,149,114,118,183,104,148,251,165,177,203,146
"Närpes","Total","Total","Emigration from Finland",43,41,34,45,31,42,31,53,48,69,39,50,43,37,30,28,26,36,25,29,35,28,37,36,60,50,72,77,69,56,47,48,60,61,55
"Närpes","Total","Total","Net migration",24,12,13,-5,14,7,17,-22,2,-35,8,17,22,-5,18,48,83,116,135,85,45,69,57,79,89,64,46,106,35,92,204,117,117,142,91
"Orimattila","Total","Total","Immigration to Finland",19,42,36,18,11,15,21,10,13,17,31,24,25,27,40,52,20,41,38,27,23,42,41,31,34,36,56,44,44,32,40,31,42,65,194
"Orimattila","Total","Total","Emigration from Finland",8,11,4,8,13,13,6,9,9,12,30,15,12,16,13,25,14,15,22,17,15,22,22,17,24,16,24,18,23,22,26,16,16,12,21
"Orimattila","Total","Total","Net migration",11,31,32,10,-2,2,15,1,4,5,1,9,13,11,27,27,6,26,16,10,8,20,19,14,10,20,32,26,21,10,14,15,26,53,173
"Oripää","Total","Total","Immigration to Finland",3,1,3,1,0,0,0,1,0,2,4,2,2,3,4,6,11,7,4,10,5,4,16,10,22,7,9,7,19,10,16,16,7,28,14
"Oripää","Total","Total","Emigration from Finland",0,2,0,1,0,1,1,0,0,0,2,4,2,1,0,4,2,0,1,1,0,1,6,1,9,7,1,1,1,1,6,3,2,2,1
"Oripää","Total","Total","Net migration",3,-1,3,0,0,-1,-1,1,0,2,2,-2,0,2,4,2,9,7,3,9,5,3,10,9,13,0,8,6,18,9,10,13,5,26,13
"Orivesi","Total","Total","Immigration to Finland",8,20,8,15,15,15,7,9,16,2,12,18,13,5,18,12,20,29,30,22,21,20,18,9,23,13,14,14,8,18,15,10,10,38,25
"Orivesi","Total","Total","Emigration from Finland",9,5,8,4,3,12,3,26,14,7,10,8,6,3,7,9,7,4,22,10,11,14,8,12,5,19,9,14,16,14,20,6,3,7,9
"Orivesi","Total","Total","Net migration",-1,15,0,11,12,3,4,-17,2,-5,2,10,7,2,11,3,13,25,8,12,10,6,10,-3,18,-6,5,0,-8,4,-5,4,7,31,16
"Oulainen","Total","Total","Immigration to Finland",7,17,5,14,8,8,8,9,5,15,20,13,8,20,22,16,17,16,13,16,15,18,20,13,11,8,12,11,5,6,13,6,26,51,39
"Oulainen","Total","Total","Emigration from Finland",12,10,0,4,6,4,2,9,11,11,15,20,9,17,7,18,8,12,15,8,10,3,9,2,7,7,7,3,2,6,4,8,4,7,9
"Oulainen","Total","Total","Net migration",-5,7,5,10,2,4,6,0,-6,4,5,-7,-1,3,15,-2,9,4,-2,8,5,15,11,11,4,1,5,8,3,0,9,-2,22,44,30
"Oulu","Total","Total","Immigration to Finland",445,400,369,342,289,286,277,351,366,474,512,621,642,662,652,658,698,732,756,858,718,840,852,940,898,887,1111,913,992,1111,941,1200,1565,2280,1636
"Oulu","Total","Total","Emigration from Finland",181,189,145,177,230,230,300,315,400,496,492,529,603,503,515,516,482,488,498,345,387,432,465,374,425,431,406,400,501,458,404,356,393,422,442
"Oulu","Total","Total","Net migration",264,211,224,165,59,56,-23,36,-34,-22,20,92,39,159,137,142,216,244,258,513,331,408,387,566,473,456,705,513,491,653,537,844,1172,1858,1194
"Outokumpu","Total","Total","Immigration to Finland",14,5,18,3,1,13,11,6,15,9,4,17,11,10,18,28,30,13,22,14,16,14,28,15,14,20,28,30,11,18,12,31,59,111,156
"Outokumpu","Total","Total","Emigration from Finland",1,6,6,5,8,1,5,11,5,9,8,2,5,6,10,2,7,7,8,2,3,8,8,8,8,12,9,5,10,5,11,7,7,4,15
"Outokumpu","Total","Total","Net migration",13,-1,12,-2,-7,12,6,-5,10,0,-4,15,6,4,8,26,23,6,14,12,13,6,20,7,6,8,19,25,1,13,1,24,52,107,141
"Padasjoki","Total","Total","Immigration to Finland",18,37,10,5,1,2,4,4,1,1,4,8,4,1,7,8,7,3,3,5,17,12,10,2,0,0,7,5,3,5,11,9,8,24,10
"Padasjoki","Total","Total","Emigration from Finland",3,5,2,1,2,1,7,1,7,2,3,3,2,4,10,3,1,1,7,13,0,5,0,3,4,1,1,2,1,6,2,2,1,1,6
"Padasjoki","Total","Total","Net migration",15,32,8,4,-1,1,-3,3,-6,-1,1,5,2,-3,-3,5,6,2,-4,-8,17,7,10,-1,-4,-1,6,3,2,-1,9,7,7,23,4
"Paimio","Total","Total","Immigration to Finland",8,11,9,13,6,9,4,10,6,11,12,21,16,20,7,11,22,16,23,31,18,31,37,19,17,19,24,32,39,25,30,30,61,135,61
"Paimio","Total","Total","Emigration from Finland",3,10,4,3,4,7,17,2,11,17,23,19,10,15,7,15,15,12,7,20,9,11,14,18,10,26,25,19,20,22,6,18,17,14,10
"Paimio","Total","Total","Net migration",5,1,5,10,2,2,-13,8,-5,-6,-11,2,6,5,0,-4,7,4,16,11,9,20,23,1,7,-7,-1,13,19,3,24,12,44,121,51
"Paltamo","Total","Total","Immigration to Finland",11,4,1,5,0,1,4,12,8,4,8,8,6,4,14,7,9,9,3,11,9,7,8,4,1,4,15,4,3,3,1,1,1,25,5
"Paltamo","Total","Total","Emigration from Finland",0,4,1,4,2,2,0,9,3,9,1,6,2,6,14,9,6,0,3,2,1,0,1,3,4,3,3,1,1,4,1,3,3,2,1
"Paltamo","Total","Total","Net migration",11,0,0,1,-2,-1,4,3,5,-5,7,2,4,-2,0,-2,3,9,0,9,8,7,7,1,-3,1,12,3,2,-1,0,-2,-2,23,4
"Pargas","Total","Total","Immigration to Finland",59,48,50,51,26,36,43,39,44,48,37,53,60,51,46,58,55,41,58,58,41,42,55,55,70,55,57,73,77,48,49,57,100,119,66
"Pargas","Total","Total","Emigration from Finland",18,28,56,25,37,40,42,58,56,56,57,48,39,29,61,25,34,35,31,21,36,33,18,36,52,42,50,50,42,35,28,38,49,23,40
"Pargas","Total","Total","Net migration",41,20,-6,26,-11,-4,1,-19,-12,-8,-20,5,21,22,-15,33,21,6,27,37,5,9,37,19,18,13,7,23,35,13,21,19,51,96,26
"Parikkala","Total","Total","Immigration to Finland",2,6,9,1,4,11,4,7,8,9,8,3,9,11,14,15,14,12,17,17,42,11,11,16,9,5,3,5,10,7,7,7,19,24,5
"Parikkala","Total","Total","Emigration from Finland",2,3,6,4,2,0,12,1,6,5,8,4,2,4,3,5,2,4,5,11,5,4,6,4,3,8,8,8,5,5,2,3,4,3,2
"Parikkala","Total","Total","Net migration",0,3,3,-3,2,11,-8,6,2,4,0,-1,7,7,11,10,12,8,12,6,37,7,5,12,6,-3,-5,-3,5,2,5,4,15,21,3
"Parkano","Total","Total","Immigration to Finland",30,46,20,10,12,10,5,5,4,4,0,10,11,4,17,11,11,29,66,17,10,12,20,16,9,6,5,8,4,10,5,6,21,38,25
"Parkano","Total","Total","Emigration from Finland",9,5,4,5,11,3,8,2,11,8,3,8,4,4,3,6,6,3,3,13,2,3,10,1,7,11,5,3,3,7,6,4,3,7,6
"Parkano","Total","Total","Net migration",21,41,16,5,1,7,-3,3,-7,-4,-3,2,7,0,14,5,5,26,63,4,8,9,10,15,2,-5,0,5,1,3,-1,2,18,31,19
"Pedersöre","Total","Total","Immigration to Finland",19,40,22,24,17,19,24,47,39,34,41,33,23,35,48,33,22,24,44,48,43,59,62,45,58,61,47,73,48,67,46,42,62,63,60
"Pedersöre","Total","Total","Emigration from Finland",30,24,17,17,39,46,24,31,64,47,29,33,50,25,22,31,26,31,31,43,39,42,47,30,39,27,49,56,51,37,23,28,30,32,35
"Pedersöre","Total","Total","Net migration",-11,16,5,7,-22,-27,0,16,-25,-13,12,0,-27,10,26,2,-4,-7,13,5,4,17,15,15,19,34,-2,17,-3,30,23,14,32,31,25
"Pelkosenniemi","Total","Total","Immigration to Finland",13,1,0,1,1,1,1,0,4,1,6,0,1,0,4,0,5,4,4,1,3,3,5,4,0,0,5,19,2,1,2,1,2,6,5
"Pelkosenniemi","Total","Total","Emigration from Finland",1,2,2,0,0,0,1,7,1,2,1,0,5,0,0,1,1,4,2,2,1,4,0,0,3,0,0,1,1,2,3,1,0,1,0
"Pelkosenniemi","Total","Total","Net migration",12,-1,-2,1,1,1,0,-7,3,-1,5,0,-4,0,4,-1,4,0,2,-1,2,-1,5,4,-3,0,5,18,1,-1,-1,0,2,5,5
